iter	Passed	Remaining
0	3	297
1	6	327
2	9	313
3	12	293
4	13	264
5	16	262
6	19	264
7	21	247
8	24	244
9	25	232
10	27	222
11	29	213
12	30	205
13	32	198
14	34	194
15	35	187
16	37	182
17	39	178
18	40	173
19	43	172
20	45	172
21	47	167
22	49	165
23	51	164
24	53	160
25	55	157
26	56	153
27	57	149
28	60	149
29	62	145
30	63	141
31	64	137
32	66	134
33	68	132
34	70	131
35	72	128
36	73	125
37	77	126
38	79	123
39	81	121
40	82	118
41	82	113
42	83	110
43	85	108
44	86	105
45	89	105
46	92	104
47	94	102
48	95	99
49	97	97
50	99	95
51	100	92
52	102	90
53	103	88
54	105	85
55	106	83
56	108	81
57	109	79
58	112	77
59	114	76
60	115	73
61	117	71
62	118	69
63	120	67
64	122	65
65	123	63
66	125	61
67	126	59
68	128	57
69	129	55
70	131	53
71	132	51
72	135	50
73	136	48
74	138	46
75	140	44
76	141	42
77	145	40
78	146	38
79	147	36
80	151	35
81	153	33
82	154	31
83	155	29
84	156	27
85	158	25
86	160	24
87	162	22
88	165	20
89	166	18
90	168	16
91	170	14
92	171	12
93	174	11
94	176	9
95	177	7
96	179	5
97	181	3
98	182	1
99	184	0
