iter	Passed	Remaining
0	159	159705
1	161	80594
2	163	54241
3	164	40953
4	165	32999
5	167	27696
6	168	23919
7	169	21074
8	171	18862
9	172	17096
10	173	15642
11	175	14453
12	177	13459
13	178	12595
14	180	11851
15	182	11198
16	183	10625
17	185	10107
18	186	9643
19	188	9234
20	190	8868
21	191	8531
22	193	8208
23	194	7923
24	196	7659
25	198	7419
26	199	7186
27	200	6966
28	202	6770
29	203	6592
30	205	6427
31	206	6260
32	208	6112
33	210	5969
34	211	5833
35	213	5708
36	214	5585
37	216	5477
38	218	5374
39	219	5273
40	221	5177
41	223	5088
42	224	5006
43	226	4916
44	227	4834
45	229	4755
46	230	4674
47	232	4606
48	233	4538
49	235	4472
50	236	4408
51	238	4344
52	239	4282
53	241	4226
54	243	4175
55	244	4122
56	245	4068
57	248	4040
58	250	3993
59	252	3948
60	253	3901
61	255	3860
62	256	3819
63	258	3781
64	260	3740
65	261	3702
66	263	3674
67	265	3639
68	267	3605
69	268	3572
70	270	3539
71	272	3508
72	274	3481
73	275	3448
74	277	3418
75	278	3390
76	280	3362
77	282	3334
78	283	3305
79	285	3278
80	286	3251
81	288	3228
82	289	3195
83	290	3170
84	292	3150
85	294	3127
86	295	3103
87	297	3080
88	298	3058
89	300	3036
90	302	3017
91	303	2998
92	305	2978
93	307	2959
94	308	2942
95	310	2922
96	312	2904
97	313	2886
98	315	2868
99	316	2849
100	318	2832
101	319	2815
102	321	2800
103	323	2786
104	325	2771
105	327	2759
106	328	2744
107	330	2728
108	332	2714
109	333	2701
110	335	2687
111	337	2676
112	339	2668
113	341	2655
114	343	2641
115	345	2630
116	346	2615
117	348	2602
118	349	2589
119	351	2574
120	352	2563
121	354	2551
122	356	2541
123	358	2530
124	359	2519
125	361	2506
126	362	2494
127	364	2482
128	366	2472
129	368	2464
130	370	2454
131	371	2443
132	373	2431
133	374	2420
134	376	2409
135	377	2399
136	379	2388
137	380	2377
138	382	2371
139	385	2365
140	386	2356
141	387	2343
142	389	2334
143	391	2325
144	392	2316
145	394	2306
146	395	2297
147	397	2288
148	399	2280
149	400	2271
150	402	2264
151	404	2254
152	405	2246
153	407	2237
154	408	2228
155	410	2220
156	412	2214
157	414	2208
158	416	2200
159	417	2193
160	418	2182
161	420	2174
162	421	2166
163	423	2159
164	425	2150
165	427	2146
166	429	2141
167	430	2133
168	432	2127
169	434	2122
170	436	2116
171	438	2110
172	440	2105
173	442	2099
174	444	2094
175	445	2087
176	447	2080
177	449	2073
178	450	2066
179	452	2060
180	453	2053
181	455	2047
182	457	2041
183	459	2036
184	460	2029
185	462	2024
186	464	2017
187	466	2012
188	467	2007
189	469	2001
190	470	1994
191	472	1989
192	474	1984
193	476	1978
194	477	1971
195	479	1965
196	480	1958
197	481	1951
198	483	1945
199	484	1938
200	486	1932
201	488	1928
202	489	1923
203	491	1916
204	492	1910
205	494	1904
206	495	1899
207	497	1894
208	499	1889
209	500	1883
210	502	1879
211	504	1875
212	506	1871
213	508	1867
214	510	1863
215	512	1858
216	513	1853
217	515	1848
218	517	1843
219	518	1839
220	520	1834
221	522	1831
222	524	1827
223	526	1822
224	527	1817
225	529	1812
226	531	1808
227	532	1804
228	534	1799
229	536	1796
230	537	1790
231	539	1786
232	541	1781
233	542	1776
234	544	1772
235	546	1768
236	548	1764
237	549	1759
238	551	1755
239	552	1750
240	554	1746
241	556	1742
242	557	1736
243	559	1733
244	561	1729
245	563	1726
246	564	1722
247	566	1717
248	568	1713
249	569	1709
250	571	1705
251	572	1700
252	574	1696
253	576	1693
254	578	1689
255	580	1685
256	581	1681
257	583	1677
258	584	1672
259	586	1668
260	587	1663
261	589	1659
262	590	1655
263	592	1652
264	594	1647
265	595	1643
266	597	1639
267	598	1634
268	599	1630
269	601	1625
270	602	1621
271	604	1617
272	606	1613
273	607	1610
274	609	1607
275	611	1603
276	612	1598
277	614	1594
278	615	1590
279	616	1586
280	618	1581
281	619	1578
282	621	1575
283	623	1571
284	624	1567
285	625	1562
286	627	1558
287	628	1554
288	630	1550
289	631	1545
290	632	1542
291	634	1537
292	635	1534
293	637	1530
294	639	1527
295	640	1523
296	642	1520
297	644	1517
298	646	1514
299	647	1511
300	649	1507
301	650	1504
302	652	1501
303	654	1497
304	655	1494
305	657	1490
306	658	1487
307	660	1484
308	662	1481
309	664	1478
310	666	1475
311	667	1472
312	669	1469
313	671	1466
314	673	1463
315	674	1460
316	676	1457
317	678	1454
318	679	1451
319	681	1449
320	683	1445
321	685	1443
322	687	1440
323	688	1437
324	690	1435
325	692	1432
326	694	1429
327	696	1427
328	698	1425
329	700	1422
330	703	1421
331	705	1419
332	707	1416
333	709	1415
334	711	1412
335	713	1409
336	715	1406
337	717	1404
338	719	1402
339	720	1399
340	722	1396
341	724	1393
342	726	1390
343	727	1388
344	729	1385
345	731	1382
346	732	1378
347	733	1375
348	735	1371
349	736	1368
350	738	1364
351	740	1362
352	741	1359
353	743	1356
354	744	1352
355	746	1349
356	748	1347
357	749	1344
358	751	1342
359	753	1339
360	755	1336
361	757	1334
362	759	1332
363	760	1329
364	762	1326
365	764	1323
366	765	1320
367	767	1317
368	768	1314
369	770	1312
370	772	1308
371	773	1306
372	775	1303
373	777	1300
374	778	1297
375	780	1294
376	781	1292
377	783	1289
378	785	1287
379	787	1284
380	789	1282
381	790	1279
